title	artist	release	bpm	energy	danceability	loud	valence	length	acoustic	popularity	style
When You Were Young	The Killers	3/10/06	130	99	47	-3	32	03:40	0	34	DECENNIES
Sugar, We're Goin Down	Fall Out Boy	1/01/05	162	82	50	-5	70	03:49	1	79	DECENNIES
Fat Lip	Sum 41	1/01/01	98	91	57	-5	57	02:58	0	74	DECENNIES
Harder Better Faster Stronger	Daft Punk	7/03/01	123	72	82	-9	69	03:45	4	72	DECENNIES
Heads Will Roll	Yeah Yeah Yeahs	1/01/09	132	90	56	-4	79	03:41	0	28	DECENNIES
Sandstorm	Darude	2000	136	97	53	-8	59	03:45	14	70	DECENNIES
Golden Skans	Klaxons	2007	142	84	46	-3	71	02:45	0	30	DECENNIES
Numb	Linkin Park	24/03/03	110	86	50	-4	24	03:06	0	63	DECENNIES
Can't Stop	Red Hot Chili Peppers	9/07/02	91	94	62	-3	88	04:29	2	81	DECENNIES
Let It Rock	Kevin Rudolf	1/01/08	113	78	61	-4	48	03:51	0	65	DECENNIES
Weird Fishes/ Arpeggi	Radiohead	28/12/07	153	61	54	-8	20	05:18	77	69	DECENNIES
Untouched	The Veronicas	2007	177	82	56	-4	51	04:14	2	58	DECENNIES
Bring Me To Life	Evanescence	1/01/03	190	95	32	-3	32	03:56	1	80	DECENNIES
Cobrastyle	Teddybears	18/08/04	177	95	62	-2	79	03:00	33	59	DECENNIES
Hang Me Up To Dry	Cold War Kids	11/05/07	92	92	51	-3	67	03:39	2	63	DECENNIES
All The Things She Said	t.A.T.u.	2002	90	83	60	-6	45	03:34	4	30	DECENNIES
I Believe In A Thing Called Love	The Darkness	7/07/03	128	85	44	-5	62	03:38	5	71	DECENNIES
Ruby	Kaiser Chiefs	1/01/07	187	94	31	-3	42	03:24	1	17	DECENNIES
Best of You	Foo Fighters	14/06/05	130	94	37	-5	37	04:16	0	76	DECENNIES
What Else Is There ?	Röyksopp	22/06/05	115	93	70	-7	34	05:17	19	58	DECENNIES
In The End	Linkin Park	24/10/00	105	85	54	-6	37	03:37	1	84	DECENNIES
Gives You Hell	The All-American Rejects	1/01/08	100	71	71	-6	58	03:33	2	73	DECENNIES
Living in America	The Sounds	4/11/02	148	89	56	-3	72	03:29	2	55	DECENNIES
She Hates Me	Puddle Of Mudd	2001	110	74	58	-5	56	03:37	1	64	DECENNIES
Pjanoo - Radio Edit	Eric Prydz	29/08/08	126	87	60	-5	84	02:37	0	68	DECENNIES
Dani California	Red Hot Chili Peppers	9/05/06	96	87	55	-5	74	04:43	2	77	DECENNIES
Whataya Want from Me	Adam Lambert	20/11/09	186	68	44	-5	45	03:47	1	65	DECENNIES
D.A.N.C.E	Justice	11/06/07	113	96	61	-5	50	04:02	3	69	DECENNIES
Mr. Brightside	The Killers	1/01/04	148	93	35	-4	24	03:42	0	27	DECENNIES
Silvia	Miike Snow	21/05/09	120	79	50	-6	28	06:25	1	41	DECENNIES
Galvanize	The Chemical Brothers	1/01/05	104	71	75	-4	37	06:34	1	64	DECENNIES
Hero Of War	Rise Against	3/10/08	77	42	64	-7	25	04:13	55	14	DECENNIES
Kids	MGMT	14/12/07	123	93	45	-4	17	05:03	0	78	DECENNIES
Intro	The xx	16/08/09	100	79	61	-9	16	02:08	46	75	DECENNIES
Call On Me - Radio Edit	Eric Prydz	13/09/04	126	84	60	-7	45	02:51	0	23	DECENNIES
Pumped Up Kicks	Foster The People	23/05/11	128	71	73	-6	97	04:00	14	84	DECENNIES
Bulletproof	La Roux	2009	123	88	69	-3	69	03:26	0	67	DECENNIES
Hush	Kula Shaker	16/12/02	118	85	48	-7	81	02:55	0	57	DECENNIES
Numb / Encore	JAY Z	30/11/04	107	80	69	-4	80	03:25	6	75	DECENNIES
Man Must Dance	Johnossi	1/01/06	88	45	66	-9	54	02:35	20	55	DECENNIES
Fireflies	Owl City	1/01/09	180	66	51	-7	46	03:48	3	38	DECENNIES
Something About Us	Daft Punk	7/03/01	100	48	88	-13	38	03:53	44	71	DECENNIES
Freestyler	Bomfunk MC's	2/06/99	164	93	82	-6	55	05:06	3	56	DECENNIES
I Miss You	blink-182	1/11/03	110	71	42	-8	59	03:47	0	75	DECENNIES
Electric Feel	MGMT	14/12/07	103	81	76	-4	56	03:50	7	77	DECENNIES
Makes Me Wonder	Maroon 5	1/01/07	114	87	81	-2	90	03:31	1	62	DECENNIES
In For The Kill	La Roux	2009	150	97	61	0	94	04:09	0	59	DECENNIES
Eple	Röyksopp	22/08/01	106	85	68	-5	81	03:38	1	46	DECENNIES
Upside Down	Paloma Faith	24/09/09	176	84	62	-4	73	03:09	5	60	DECENNIES
Motorcycle Emptiness	Manic Street Preachers	28/10/02	112	80	52	-4	20	05:06	0	63	DECENNIES
Sk8er Boi	Avril Lavigne	26/08/02	150	90	49	-4	48	03:24	0	68	DECENNIES
Around The World	Aqua	1/01/09	130	98	70	-4	97	03:29	0	12	DECENNIES
Amber	311	8/06/04	166	73	66	-9	75	03:31	12	69	DECENNIES
Dragostea Din Tei	O-Zone	1/01/04	130	96	81	-5	71	03:34	15	17	DECENNIES
A-Punk	Vampire Weekend	27/01/08	175	82	55	-4	84	02:18	1	71	DECENNIES
When The Sun Goes Down	Arctic Monkeys	18/02/06	170	87	35	-5	42	03:20	3	18	DECENNIES
Cupid's Chokehold / Breakfast In America - Radio Mix	Gym Class Heroes	2/01/07	80	68	58	-5	82	03:57	50	61	DECENNIES
Animal	Miike Snow	21/05/09	118	72	76	-7	66	04:24	1	61	DECENNIES
It Takes a Fool to Remain Sane	The Ark	25/09/00	123	59	69	-5	39	03:56	2	58	DECENNIES
Every time we touch	Cascada	2006	142	98	63	-5	49	03:17	0	26	DECENNIES
How You Remind Me	Nickelback	11/09/01	172	76	45	-5	54	03:44	0	79	DECENNIES
The Girl You Lost To Cocaine	Sia	1/01/08	110	68	66	-5	55	02:40	1	55	DECENNIES
Teenage Dirtbag	Wheatus	15/02/99	95	85	63	-4	63	04:02	35	67	DECENNIES
Geraldine	Glasvegas	2008	120	84	47	-4	16	03:45	0	57	DECENNIES
Everywhere	Michelle Branch	31/07/01	97	83	52	-5	48	03:35	1	68	DECENNIES
New Slang	The Shins	19/06/01	130	39	67	-12	65	03:51	61	58	DECENNIES
Stronger	Kanye West	1/01/07	104	72	62	-8	49	05:12	1	79	DECENNIES
Last Nite	The Strokes	25/07/01	104	91	62	-6	77	03:13	3	73	DECENNIES
Dreaming of You	The Coral	2002	199	68	44	-7	97	02:21	37	67	DECENNIES
Stupidisco	Junior Jack	9/03/04	125	99	75	-5	76	05:08	2	36	DECENNIES
Burning	The Whitest Boy Alive	4/09/06	151	76	72	-8	86	03:11	67	65	DECENNIES
Good Luck (Feat Lisa Kekaula)	Basement Jaxx	21/03/05	154	94	58	-4	60	03:32	9	59	DECENNIES
Lola's Theme	The Shapeshifters	1/01/06	124	83	77	-6	70	05:37	0	57	DECENNIES
Supergirl	Reamonn	1/01/00	116	52	66	-10	38	04:06	14	61	DECENNIES
All For You	Janet Jackson	1/01/10	114	88	78	-5	73	04:32	1	51	DECENNIES
Sing	Travis	2001	163	90	33	-5	30	03:49	0	19	DECENNIES
Come Along	Titiyo	2001	84	79	65	-5	91	03:44	6	56	DECENNIES
My Immortal	Evanescence	1/01/03	69	29	19	-9	8	04:23	86	75	DECENNIES
Always Like This	Bombay Bicycle Club	1/01/09	122	61	58	-7	74	04:06	44	65	DECENNIES
Dance With Somebody	Mando Diao	1/01/09	150	84	56	-5	53	05:18	0	52	DECENNIES
Crush	David Archuleta	7/11/08	162	66	57	-5	49	03:34	1	73	DECENNIES
Snow (Hey Oh)	Red Hot Chili Peppers	19/12/06	105	90	43	-4	60	05:35	12	73	DECENNIES
Something	Lasgo	14/09/12	140	98	64	-7	38	03:41	3	65	DECENNIES
Hung Up	Madonna	18/09/09	125	65	64	-8	42	05:37	0	64	DECENNIES
I Turn To You	Melanie C	1999	135	80	52	-6	8	05:52	0	56	DECENNIES
If I ever feel better	Phoenix	6/03/00	120	55	76	-9	84	04:27	5	70	DECENNIES
Bye Bye Bye	*NSYNC	21/10/05	173	87	57	-4	81	03:20	2	66	DECENNIES
Human	The Killers	1/01/08	135	84	55	-7	57	04:05	0	33	DECENNIES
Heartbeats	The Knife	17/01/03	88	75	65	-5	41	03:52	2	44	DECENNIES
Young Folks	Peter Bjorn and John	19/10/07	138	86	67	-5	69	04:39	1	17	DECENNIES
Sweet Disposition	The Temper Trap	2/08/09	129	81	53	-7	35	03:55	8	59	DECENNIES
My Sacrifice	Creed	1/01/01	146	88	32	-6	26	04:55	0	70	DECENNIES
Naive	The Kooks	1/01/06	100	81	39	-6	74	03:24	8	76	DECENNIES
Little L	Jamiroquai	3/09/01	122	72	88	-5	90	04:55	17	58	DECENNIES
